City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,viedma,-40.8135,-62.9967,12.41,46,100,10.51,AR,1689791399
84,korla,41.7597,86.1469,31.77,19,0,0.94,CN,1689791068
85,benjamin constant,-4.3831,-70.0311,28.07,89,75,0.51,BR,1689791399
86,constantia,44.1833,28.65,27.38,71,5,5.08,RO,1689791077
87,iqaluit,63.7506,-68.5145,3.85,100,100,3.6,CA,1689791047
88,duarte,34.1394,-117.9773,38.65,41,0,2.06,US,1689791140
89,kosmach,48.7509,24.3673,16.94,92,100,3.86,UA,1689791401
90,ribeira grande,38.5167,-28.7,23.22,83,20,2.57,PT,1689791036
91,mount isa,-20.7333,139.5,13.87,82,100,2.06,AU,1689790994
92,recani,31.2846,-4.2688,37.21,8,0,4.13,MA,1689791403
93,anadyr,64.75,177.4833,16.28,72,0,5.0,RU,1689790720
94,gadzhiyevo,69.2551,33.3362,12.2,94,100,5.48,RU,1689791084
95,mukalla,14.5425,49.1242,31.54,57,71,1.38,YE,1689791405
96,aykhal,66.0,111.5,13.36,81,85,4.79,RU,1689791155
97,kidatu,-7.6992,36.9572,22.14,66,36,0.34,TZ,1689791406
98,nioki,-2.7167,17.6833,28.62,32,70,1.18,CD,1689791406
99,timaru,-44.4,171.25,8.98,88,100,5.11,NZ,1689791407
100,limbazi,57.5129,24.7194,15.58,89,100,2.05,LV,1689791407
101,whitehorse,60.7161,-135.0538,18.43,52,40,5.66,CA,1689791160
102,st. john's,47.5649,-52.7093,29.04,74,75,9.77,CA,1689790973
103,nova xavantina,-14.6667,-52.35,34.93,22,100,2.31,BR,1689791392
104,hovd,48.0056,91.6419,22.63,31,4,0.81,MN,1689791184
105,puerto aysen,-45.4,-72.7,2.02,93,75,0.0,CL,1689791410
106,hailar,49.2,119.7,15.31,70,79,2.95,CN,1689791411
107,afaahiti,-17.75,-149.2833,25.93,77,78,9.65,PF,1689791039
108,hammerfest,70.6634,23.6821,8.25,93,75,5.66,NO,1689791199
109,tsumeb,-19.2333,17.7167,16.85,19,0,3.67,NA,1689791412
110,isafjordur,66.0755,-23.124,10.55,73,75,2.3,IS,1689791000
